ds,yhat,yhat_lower,yhat_upper,Country
1907-01-01,-27289019.3254873,-423221429.7764865,351412607.2452754,China
1908-01-01,-14334178.349229816,-413861093.2808151,367146161.3330365,China
1909-01-01,-38005555.45765752,-436150826.28739506,366864888.8690068,China
1910-01-01,-24978466.673012413,-431087806.40270156,390210707.00212914,China
1911-01-01,-11981907.950167678,-393602055.1799795,412260866.9574979,China
1912-01-01,972933.6686704867,-424252937.3259541,393288872.7878918,China
1913-01-01,-22698442.795420457,-447878575.7626954,359100011.722367,China
1914-01-01,-9671353.368288722,-435514746.3730692,371418274.8269313,China
1915-01-01,3325205.748443026,-429306833.47161686,402177037.0921435,China
1916-01-01,16280047.118527822,-412419479.5945488,389020634.90341485,China
1917-01-01,-7391329.595064849,-423864306.1110247,373229539.7142444,China
1918-01-01,5635759.583253883,-402291116.900195,435527708.5839833,China
1919-01-01,18632318.465493266,-382162033.2230748,432050421.63098687,China
1920-01-01,31587159.601075135,-385290779.384798,421367179.3937229,China
1921-01-01,7915782.652331814,-390921439.11629546,393710869.2589211,China
1922-01-01,20942871.59614429,-399698890.1462372,422642858.039669,China
1923-01-01,33939430.2972628,-374582377.181654,463347608.9338372,China
1924-01-01,46894271.251813486,-390129058.8095197,420799473.9880943,China
1925-01-01,23222894.121514015,-392861943.10014856,435533006.6001099,China
1926-01-01,36249988.14086153,-383428598.4941594,424142011.6968327,China
1927-01-01,49246552.09870048,-378572743.7653667,454721520.52603287,China
1928-01-01,62201398.30997103,-320917266.1783241,466924873.70309186,China
1929-01-01,38530026.45078774,-334918089.6283935,449955801.0196092,China
1930-01-01,51557120.33651084,-363882468.6957782,450896775.0608021,China
1931-01-01,64553684.16062509,-343292701.815773,478874953.43083984,China
1932-01-01,77508530.23816626,-323522633.43150824,475291913.22119004,China
1933-01-01,53837158.24485653,-346945824.9334335,458369460.2853807,China
1934-01-01,66864254.947545335,-344422058.7985647,460942400.6645622,China
1935-01-01,79860821.58854273,-329250292.2481997,496902140.3109336,China
1936-01-01,92815670.48306572,-325600028.53089386,513215747.6949178,China
1937-01-01,69144301.35584137,-319275789.58628803,473846691.48945785,China
1938-01-01,82171398.09981798,-322735754.4317755,521387795.3176872,China
1939-01-01,95167964.78217743,-324970338.93239695,525232026.20367527,China
1940-01-01,108122813.71797408,-294127330.0282765,506651781.2598046,China
1941-01-01,84488751.45300609,-322962386.7427909,462492749.17193085,China
1942-01-01,97553053.12788032,-313322536.5057004,475462471.47502315,China
1943-01-01,110586824.7411221,-301089399.05224216,515343799.1043663,China
1944-01-01,123578878.60779287,-272304288.756967,526624074.49301463,China
1945-01-01,100154725.40676676,-278612099.10007703,469288274.14012337,China
1946-01-01,113428362.62355247,-327923202.5693041,511017420.73344815,China
1947-01-01,126671469.77872856,-302628766.0970729,495298567.66439956,China
1948-01-01,145305257.74512994,-283826950.1569064,519090085.2799638,China
1949-01-01,127328386.38568139,-277864476.4835614,542531296.3785944,China
1950-01-01,146034422.16031075,-270310375.0264733,560990662.315765,China
1951-01-01,164709927.8733463,-241269421.79042995,602288807.3644402,China
1952-01-01,194766091.6626903,-222928427.7005213,592776220.7666773,China
1953-01-01,188242890.30653742,-208553640.92989555,588336424.5567316,China
1954-01-01,218371301.90407652,-192393672.38731593,597864761.6642456,China
1955-01-01,248469183.4400521,-147419211.05234313,638287358.9866894,China
1956-01-01,284456929.3579134,-112306555.48419225,678651064.239211,China
1957-01-01,283881561.0401759,-114545420.9537819,672658733.131309,China
1958-01-01,319941554.7662363,-58085811.37532197,694069595.9422872,China
1959-01-01,355971018.4306802,-19064748.922891717,758261437.1769556,China
1960-01-01,391958793.3454494,-19499527.76560454,788416946.2633045,China
1961-01-01,391383454.1040599,-32668187.212455958,785353416.345035,China
1962-01-01,427443476.8270177,13379871.135438249,845394310.9473754,China
1963-01-01,479395923.59996855,56682864.599885136,884501492.7423172,China
1964-01-01,531306652.6263298,118356749.99204943,959949992.4169039,China
1965-01-01,546697892.0283351,132956837.63431372,971598758.4045259,China
1966-01-01,598680868.8628868,187104907.5817709,996974942.470224,China
1967-01-01,662041951.4266375,256831974.10257152,1071824070.3973762,China
1968-01-01,725361316.2438017,324388812.4430469,1127796696.4978104,China
1969-01-01,752192447.9730198,380735324.94121945,1186883089.1999958,China
1970-01-01,815584060.5983747,408257633.72995746,1234034437.052981,China
1971-01-01,894141106.0209435,428552569.7146705,1288343025.8370168,China
1972-01-01,972656433.6969273,586676592.3441439,1368935245.9630892,China
1973-01-01,1014725161.0599245,615081659.6885281,1432287047.4650862,China
1974-01-01,1098229155.880089,694234005.245678,1518322270.7622607,China
1975-01-01,1181702620.638636,744329232.1262476,1559468467.1795413,China
1976-01-01,1265134367.6506035,883231417.5279903,1668504622.9405656,China
1977-01-01,1312132983.9916005,908265314.1024196,1717480086.1931977,China
1978-01-01,1400252204.3387406,984514952.3560468,1793380851.9000504,China
1979-01-01,1488340894.6242583,1065176693.9588321,1871092276.1142967,China
1980-01-01,1576387867.1631954,1134000220.265753,1956873279.9735348,China
1981-01-01,1628014353.4846723,1216236138.3992977,2008957450.9566486,China
1982-01-01,1716855283.375196,1279172296.8969753,2134975748.6873565,China
1983-01-01,1805665683.2041173,1378477444.3821125,2221405067.5838776,China
1984-01-01,1894434365.2864676,1506534770.7584774,2311685377.0612335,China
1985-01-01,1953308874.6828017,1564582662.2470596,2353644087.5231757,China
1986-01-01,2048656314.763099,1646067510.356836,2458236263.379369,China
1987-01-01,2143973224.7817411,1740642013.8679492,2555230081.0985756,China
1988-01-01,2239248417.05384,1815123799.0651577,2662182219.1457467,China
1989-01-01,2319484493.457193,1905870996.0700321,2747263008.803511,China
1990-01-01,2436135135.607333,2028277276.2039206,2879269888.608444,China
1991-01-01,2552755247.69585,2135360541.8250446,2985888638.2138653,China
1992-01-01,2669333642.037762,2251942854.5760565,3073584643.855305,China
1993-01-01,2801547338.03068,2361572546.703606,3190330589.431606,China
1994-01-01,2970033584.416298,2599971896.3670073,3397749181.327255,China
1995-01-01,3138489300.740304,2730637226.96098,3542487881.757478,China
1996-01-01,3383720640.3470116,2972392491.622991,3799795256.303724,China
1997-01-01,3592962135.8378353,3208771058.499782,4043931079.8672686,China
1998-01-01,3838265723.2527347,3472594329.2078624,4231452386.8209248,China
1999-01-01,4083538780.606054,3674091827.021421,4487401543.71442,China
2000-01-01,4433680392.477651,4042237544.1233635,4830217794.125624,China
2001-01-01,4748119585.636723,4345376606.78361,5170578622.016678,China
2002-01-01,5098333445.316467,4693823577.582462,5507758750.247111,China
2003-01-01,5448516774.934616,5054883911.179122,5846048525.44729,China
