ds,yhat,yhat_lower,yhat_upper
2023-12-31,39027300766.11975,37908434931.88656,40227265903.922
2024-12-31,39963752399.85497,38931276905.876564,41171668180.733444
2025-12-31,40398892829.66148,39207195097.97435,41466965521.71694
2026-12-31,40794650347.480934,39651755676.141624,41966899207.274414
2027-12-31,41151207638.823166,39990320283.65933,42255160575.31678
2028-12-31,42087659272.556854,40949487593.94234,43199003070.767075
2029-12-31,42522799702.362366,41372707393.08474,43581422355.15037
2030-12-31,42918557220.18292,41757806785.39476,44065097050.02326
2031-12-31,43275114511.52212,42135977259.33329,44398605680.56838
2032-12-31,44211566145.258064,43137788615.121414,45376234742.98848
2033-12-31,44646706575.06515,43479404159.48426,45816837949.714325
2034-12-31,45042464092.88224,43911510800.78615,46135239073.66209
2035-12-31,45399021384.224686,44231057979.267166,46580417752.08665
2036-12-31,46335473017.96071,45135516365.4017,47530553064.25287
2037-12-31,46770613447.76822,45642125961.25021,47901818269.25679
2038-12-31,47166370965.585754,45991730227.557014,48254611522.734406
2039-12-31,47522928256.92934,46305771091.74609,48734134443.674324
2040-12-31,48459379890.66277,47206981480.24707,49740558947.98375
2041-12-31,48894520320.46855,47716750352.32862,50116625617.35178
2042-12-31,49290277838.28862,48104187299.52591,50534458196.02924
2043-12-31,49646835129.62784,48400930571.28724,50886173377.05671
2044-12-31,50583286763.36356,49314075952.102425,51838424846.79705
2045-12-31,51018427193.1709,49737142952.89306,52379160883.746216
2046-12-31,51414184710.990616,50053852397.8636,52643929527.57624
2047-12-31,51770742002.33042,50413123978.06392,53098440761.115036
2048-12-31,52707193636.06615,51338285479.676445,54064454932.50199
2049-12-31,53142334065.87389,51788406570.30669,54543200005.11263
2050-12-31,53538091583.69228,52087022896.74794,54958611970.004875
2051-12-31,53894648875.03447,52431805677.33387,55413879581.94998
2052-12-31,54831100508.76855,53240635629.29542,56237881651.54282
